time,pose_x,pose_y,yaw,vel_x,vel_y,acc_x,acc_y,vel_yaw
29299.82,0.21128270957451542,0.00011290889232853442,0.7069178180162589,-7.953504903410224e-07,-4.250330898264537e-10,-0.0,-0.0,-2.661114268755357e-06
29299.84,0.2112827961431954,0.00011128806798514389,0.7069205310442483,-3.258782387365287e-13,6.101414304586116e-12,-0.0,-0.0,-1.0212894352988414e-11
29299.88,0.2112828827118753,0.00010966724364177107,0.7069232440596355,-3.258782641515984e-13,6.1014147862341696e-12,-0.0,-0.0,-1.0212847719099709e-11
29299.91,0.21128296928055512,0.00010804641929834273,0.70692595706242,-3.2587825178031535e-13,6.101414558728264e-12,-0.0,-0.0,-1.0212799896894968e-11
29299.94,0.21128305584923512,0.0001064255949549522,0.7069286700526014,-3.258782594974126e-13,6.101414691335613e-12,-0.0,-0.0,-1.0212752675961956e-11
29299.98,0.2112831424179149,0.00010480477061154156,0.7069313830301794,-3.2587826118123e-13,6.101414738587308e-12,-0.0,-0.0,-1.0212705310955381e-11
29300.24,0.21128433306560523,0.00010538111091566447,0.7069304193580387,-4.482062114585494e-12,-2.169569607531753e-12,-0.0,-0.0,3.6276376530413088e-12
29300.45,0.21128552371329562,0.00010595745121967637,0.7069294556954493,-4.482061827343745e-12,-2.1695694679715947e-12,-0.0,-0.0,3.6276014653484102e-12
29300.85,0.21128671436098595,0.00010653379152379931,0.7069284920424109,-4.48206214610298e-12,-2.169569622788087e-12,-0.0,-0.0,3.6275657697202524e-12
29300.11,0.21128790500867617,0.0001071101318278844,0.7069275283989238,-4.4820619773893224e-12,-2.1695695411810706e-12,-0.0,-0.0,3.6275296788870108e-12
29300.15,0.21128909565636655,0.0001076864721319518,0.7069265647649878,-4.482062156251921e-12,-2.1695696273905255e-12,-0.0,-0.0,3.627493868934731e-12
29300.18,0.21129028630405683,0.00010826281243603693,0.7069256011406025,-4.482062051257082e-12,-2.1695695768361634e-12,-0.0,-0.0,3.6274578317631833e-12
29300.22,0.2113254548402348,0.00011010482169009098,0.7069225487680992,-1.323880817608783e-10,-6.9340409989197235e-12,-0.0,-0.0,1.1490320168229336e-11
29300.24,0.21136062337641287,0.00011194683094429387,0.7069194973982393,-1.323880734036128e-10,-6.934040561732733e-12,-0.0,-0.0,1.1486545102363234e-11
29300.28,0.2113957919125909,0.00011378884019834792,0.7069164470305298,-1.3238808141793985e-10,-6.9340409809468175e-12,-0.0,-0.0,1.1482773313062016e-11
29300.31,0.21143096044876886,0.00011563084945245747,0.7069133976644775,-1.323880780501808e-10,-6.934040804774823e-12,-0.0,-0.0,1.147900239284562e-11
29300.35,0.21146612898494685,0.00011747285870651155,0.7069103492995896,-1.323880784529607e-10,-6.93404082565679e-12,-0.0,-0.0,1.1475233654398208e-11
29300.38,0.21150129752112484,0.0001193148679605656,0.706907301935374,-1.3238807871447993e-10,-6.934040839354182e-12,-0.0,-0.0,1.1471466756803685e-11
29300.43,0.2115434097237374,0.00011652609401533843,0.7069120038385936,-1.5852675664552144e-10,1.0498032900864293e-11,-0.0,-0.0,-1.7699797712598753e-11
29300.45,0.21158552192634988,0.00011373732007000025,0.7069167038390073,-1.5852673695918282e-10,1.0498031597618101e-11,-0.0,-0.0,-1.7692632611426502e-11
29300.48,0.21162763412896238,0.00011094854612467975,0.7069214019377671,-1.5852674904710667e-10,1.0498032398043664e-11,-0.0,-0.0,-1.768547539408247e-11
29300.51,0.21166974633157493,0.00010815977217945257,0.7069260981360249,-1.5852674504902404e-10,1.0498032132915627e-11,-0.0,-0.0,-1.7678320717807884e-11
29300.55,0.21171185853418745,0.0001053709982342077,0.7069307924349317,-1.585267427562547e-10,1.0498031981156332e-11,-0.0,-0.0,-1.767117056471534e-11
29300.58,0.2117539707368,0.00010258222428898052,0.7069354848356371,-1.585267376838704e-10,1.0498031645176983e-11,-0.0,-0.0,-1.7664024429344252e-11
29300.63,0.21178212047198897,9.853812747609946e-05,0.7069422605056502,-1.0596657922552007e-10,1.522355725341762e-11,-0.0,-0.0,-2.5506263857783467e-11
29300.65,0.21181027020717796,9.449403066332939e-05,0.706949034309947,-1.0596656580649289e-10,1.5223555325156873e-11,-0.0,-0.0,-2.5499237344829375e-11
29300.68,0.21183841994236702,9.044993385043062e-05,0.7069558062492916,-1.0596657543513628e-10,1.522355670889843e-11,-0.0,-0.0,-2.5492219254374332e-11
29300.71,0.21186656967755602,8.640583703749404e-05,0.7069625763244476,-1.059665751296401e-10,1.5223556665182057e-11,-0.0,-0.0,-2.5485201648927975e-11
29300.75,0.21189471941274504,8.236174022476178e-05,0.7069693445361775,-1.0596657279092125e-10,1.522355632840877e-11,-0.0,-0.0,-2.5478186424520295e-11
29300.79,0.21192286914793412,7.831764341191853e-05,0.7069761108852448,-1.0596657363994276e-10,1.52235564507702e-11,-0.0,-0.0,-2.5471174840328916e-11
29300.82,0.21217007748230088,8.144797234131785e-05,0.7069710458882223,-9.305885006695864e-10,-1.1783777891123136e-11,-0.0,-0.0,1.9066622478988068e-11
29300.84,0.21241728581666766,8.457830127069942e-05,0.7069659926442706,-9.305884608279759e-10,-1.1783777386551982e-11,-0.0,-0.0,1.902237852647302e-11
29300.88,0.21266449415103444,8.770863020004323e-05,0.7069609511125312,-9.305885155455022e-10,-1.1783778079282343e-11,-0.0,-0.0,1.8978290313204407e-11
29300.91,0.21291170248540126,9.083895912948039e-05,0.7069559212523345,-9.305885134041446e-10,-1.1783778052517022e-11,-0.0,-0.0,1.8934354034015246e-11
