real_x,real_y,mea_x,mea_y,mea_z,raw_x,raw_y,raw_z
1.2,0,1.182288066,-0.06744205877,-0.285515981,-0.6390960009,-0.7303417984,2.029296604
1.35,0,1.335961955,-0.0648097831,-0.2710690026,-0.7928048535,-0.7301479992,2.015892189
1.2,0.15,1.180695922,0.09282485996,-0.2503015263,-0.6369106701,-0.5671083331,2.012187704
1.35,0.15,1.335387707,0.09365342634,-0.2433320563,-0.7915931777,-0.569567531,2.006013524
0.9,0,0.8623101962,-0.067624868,-0.2746952536,-0.319879562,-0.7178722399,2.016335809
1.05,0,1.017086053,-0.06493045183,-0.2627502453,-0.4746146483,-0.7174646727,2.004500845
0.9,0.15,0.8647123447,0.09050331643,-0.2477270602,-0.3217142854,-0.5578295046,2.006347295
1.05,0.15,1.018015439,0.09229952793,-0.2367852205,-0.4749795048,-0.5583880162,1.99541627
0.6,0,0.5478428921,-0.06344603198,-0.2424753122,-0.005497569314,-0.699378385,1.985208591
0.75,0,0.7034644737,-0.06609100441,-0.254087642,-0.1610341424,-0.7067984633,1.996709075
0.6,0.15,0.5521574891,0.09040375461,-0.2313755243,-0.00991387448,-0.5452655248,1.988438949
0.75,0.15,0.7072573612,0.08876284376,-0.2407986372,-0.1649367698,-0.5514703821,1.997852787
0.3,0,0.2381054975,-0.06488992203,-0.2414321429,0.3050492197,-0.6924502698,1.98711876
0.45,0,0.393224588,-0.06522607406,-0.2420020204,0.1499764606,-0.6965130167,1.987808267
0.3,0.15,0.2424769737,0.08958768388,-0.2283965242,0.3002192738,-0.5375283138,1.987271684
0.45,0.15,0.3973919304,0.0890062917,-0.2309358333,0.1453571335,-0.5419979656,1.989902009
0.15,0,0.08757370637,-0.06298311726,-0.2184780419,0.4583351445,-0.6856351089,1.977973366
0.3,0,0.2405269014,-0.06711268213,-0.23320592,0.305288868,-0.6933484077,1.990395999
0.15,0.15,0.08668153703,0.08738226668,-0.2276734822,0.4573495555,-0.5361110544,1.996370521
0.3,0.15,0.2438035238,0.0884426996,-0.2210621195,0.3003332901,-0.5374079323,1.98775887
0,0.15,-0.06865336685,0.09256396063,-0.2222451285,0.6113210402,-0.5300839625,1.987553531
0.15,0.15,0.08567392907,0.09112434845,-0.2318927032,0.4569877562,-0.5356233472,1.996011604
0,0.3,-0.06653695014,0.2457678429,-0.21716371,0.6090225821,-0.3770848188,1.996191773
0.15,0.3,0.09300941291,0.2470927886,-0.2058462293,0.4495663413,-0.3781042275,1.983986367
0,0.45,-0.06197145998,0.3966317421,-0.2063751978,0.601475668,-0.219268521,1.984267477
0.15,0.45,0.0934662547,0.396376391,-0.2086571674,0.446091557,-0.2234154669,1.986752338
0,0.6,-0.06220496694,0.5506110653,-0.2082996091,0.6008521318,-0.06588057887,1.997921896
0.15,0.6,0.09515946038,0.5500117569,-0.2034168153,0.4435201842,-0.06987068745,1.993240666
0,0.7,-0.05637241249,0.6530348213,-0.1882242559,0.5941699855,0.0374634766,1.985945818
0.15,0.7,0.09824473197,0.6529479054,-0.1910910145,0.4396005671,0.03351576282,1.988761236
0,0.85,-0.05575309326,0.8069195392,-0.1817071059,0.5929896943,0.1913423816,1.992227733
0.15,0.85,0.1008620694,0.8060667927,-0.1773536603,0.4364130635,0.1871839242,1.987785275
0.65,0.4,0.6086945992,0.3413696346,-0.2217300204,-0.06989689515,-0.2903036779,1.993336306
0.8,0.4,0.7627227156,0.3395318805,-0.2198478828,-0.2238669665,-0.2952881805,1.990377564
0.65,0.55,0.612865081,0.4945776359,-0.2074346783,-0.07495334988,-0.1365499253,1.990380326
0.8,0.55,0.7670923548,0.4932516382,-0.2104710587,-0.2291480724,-0.1413919739,1.992362596
0.45,0.3,0.3991069547,0.2411862271,-0.2253005927,0.1406643771,-0.3867402905,1.991053724
0.6,0.3,0.5534811538,0.2413779253,-0.2220958601,-0.01366599896,-0.3897439258,1.987341699
0.45,0.45,0.4017538164,0.3949337778,-0.2149967523,0.1372535632,-0.2327182448,1.992740641
0.6,0.45,0.5562521123,0.3947032115,-0.2082135368,-0.01719263982,-0.2358671013,1.985428244
0.75,0.3,0.7094171356,0.2400515351,-0.2342116079,-0.16924658,-0.39626816,1.999431226
0.9,0.3,0.863255893,0.2407060554,-0.2277332146,-0.323045344,-0.3985761015,1.992679295
0.75,0.45,0.7123209884,0.3946102177,-0.2164663817,-0.1727667318,-0.2408465433,1.994281507
0.9,0.45,0.866661878,0.3943622252,-0.2166975059,-0.3270666922,-0.2446097053,1.99414143
1.05,0.3,1.022583839,0.2406280757,-0.2401631007,-0.481642089,-0.4048605736,2.007597808
1.2,0.3,1.177206058,0.241346581,-0.2356618949,-0.6362352433,-0.4074230975,2.003281651
1.05,0.45,1.022393703,0.3961631866,-0.2152189859,-0.4819842115,-0.2477732902,1.995857457
1.2,0.45,1.176686151,0.3963034509,-0.2134523897,-0.6362386099,-0.2511346196,1.994216627
1.35,0.3,1.340065233,0.2456497118,-0.237272517,-0.7967713817,-0.4140152604,2.013561112
1.5,0.3,1.494170656,0.2466095346,-0.2293505477,-0.9508784277,-0.4160417607,2.006438545
1.35,0.45,1.339858796,0.4015061891,-0.2126238148,-0.7961404226,-0.2564167322,2.005657012
1.5,0.45,1.496932603,0.4019018876,-0.2126300838,-0.9531629173,-0.25992184,2.006366741
1.35,0.6,1.336192107,0.550943692,-0.2005761198,-0.7945494002,-0.09874954447,1.993265564
