real_x,real_y,mea_x,mea_y,mea_z,raw_x,raw_y,raw_z
1.5,0.9,1.496453411,0.8616542951,-0.1782763424,-0.9553623358,0.2093598578,1.994633923
1.35,1.05,1.346753396,1.016917018,-0.1703268806,-0.8061094102,0.3677170106,2.00151515
1.5,1.05,1.50022047,1.016471387,-0.166263543,-0.9594974615,0.3645625467,1.995734349
1.05,0.9,1.030440972,0.8599144503,-0.1707582285,-0.4897921704,0.2175824869,1.991790515
1.2,0.9,1.188126846,0.8621983857,-0.1838473826,-0.6475450775,0.2155465999,2.00356422
1.05,1.05,1.036994785,1.017358635,-0.1726739632,-0.4969472553,0.3741991314,2.006598619
1.2,1.05,1.190174076,1.015501482,-0.1671963694,-0.6500396591,0.369657223,1.999572736
0.75,0.9,0.721486884,0.8583249363,-0.1722558708,-0.1827351559,0.2240527565,1.98964121
0.9,0.9,0.8765912816,0.8600793163,-0.1857838067,-0.3379649469,0.2217907602,2.001215244
0.75,1.05,0.7243381288,1.012310452,-0.1633824624,-0.1862928708,0.3782067299,1.992688968
0.9,1.05,0.8786435013,1.012970986,-0.1691298375,-0.3406272459,0.3754726525,1.99643304
0.45,0.9,0.4140607515,0.8598929424,-0.16402923,0.1260792235,0.2308982586,1.989893942
0.6,0.9,0.5677470819,0.8585808643,-0.1625493996,-0.02754440092,0.2267392665,1.986385965
0.45,1.05,0.4167511544,1.012789115,-0.1489358065,0.1228893641,0.3844603358,1.987129126
0.6,1.05,0.5707900638,1.014199533,-0.1611195559,-0.03124814631,0.3819075796,1.997452553
0.15,0.9,0.1087730087,0.870112282,-0.1549387427,0.4378294372,0.2414176654,2.006939196
0.3,0.9,0.2671400546,0.8655254388,-0.1437418379,0.2796669971,0.2350795926,1.992761579
0.15,1.05,0.1099418251,1.027827993,-0.1497712499,0.436914756,0.3988689956,2.017084038
0.3,1.05,0.2689050787,1.02159128,-0.1369666817,0.2781777879,0.3910340164,2.001136985
